label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
3	1__14	2018.02.10 星期六13:07	 嘿 廖 永瑞 明天 小東家 來不
1	宇__7	2018.02.10 星期六13:19	 沒空欸
2	宇__7	2018.02.10 星期六13:19	 我在新竹
0	1__14	2018.02.10 星期六14:29	 恩
2	(__16	2018.02.10 星期六14:38	 不然來找我？
0	陳__19	2018.02.10 星期六14:47	 你在林口？
0	(__16	2018.02.10 星期六14:47	 沒有啊，就說說而已哈哈
0	陳__19	2018.02.10 星期六15:44	 貼圖
0	1__14	2018.02.10 星期六17:11	 ⋯
1	吳__4	2018.02.10 星期六17:14	 我接下來都可
3	陳__19	2018.02.10 星期六17:14	 明天我們約台北
2	陳__19	2018.02.10 星期六17:15	 看要去你那或朱那都可以
0	吳__4	2018.02.10 星期六17:15	 你們要約台北？
0	陳__19	2018.02.10 星期六17:15	 呃 我還沒跟他說
2	陳__19	2018.02.10 星期六17:15	 不過我等等要回淡水
2	陳__19	2018.02.10 星期六17:15	 約台北比較方便
2	吳__4	2018.02.10 星期六17:16	 我等等要回桃園欸
0	陳__19	2018.02.10 星期六17:16	 靠XD
2	陳__19	2018.02.10 星期六17:16	 那約桃園吧
0	吳__4	2018.02.10 星期六17:16	 可是老大不行
0	陳__19	2018.02.10 星期六17:17	 他應該是喬不出時間
0	陳__19	2018.02.10 星期六17:17	 我們約就好
0	吳__4	2018.02.10 星期六17:36	 那要幾點呀
1	陳__19	2018.02.10 星期六17:37	 可以約中午
0	吳__4	2018.02.10 星期六17:38	 嗯嗯
0	1__14	2018.02.10 星期六19:38	 我以為要去你家？
0	1__14	2018.02.10 星期六19:38	 我都可
2	陳__19	2018.02.10 星期六19:38	 要來也是可以啦
2	陳__19	2018.02.10 星期六19:39	 只是我家很亂XD
2	陳__19	2018.02.10 星期六19:39	 剛好吸塵器壞了
2	陳__19	2018.02.10 星期六19:39	 沒辦法打掃
0	1__14	2018.02.10 星期六19:39	 哈哈
0	1__14	2018.02.10 星期六19:39	 沒掃把！？
0	陳__19	2018.02.10 星期六19:39	 應該有
2	1__14	2018.02.10 星期六19:39	 我可以住 可以幫你掃
0	陳__19	2018.02.10 星期六19:40	 不用啦XD
3	1__14	2018.02.10 星期六19:40	 或著 當天來回 約外面
1	1__14	2018.02.10 星期六19:40	 隨便
0	陳__19	2018.02.10 星期六19:40	 明天回去再大掃除
3	1__14	2018.02.10 星期六19:40	 看你
0	吳__4	2018.02.10 星期六22:03	 咦那明天要去桃園小東家嗎
0	1__14	2018.02.10 星期六22:10	 桃園小東 是哪里 lv 几的野王嗎⋯
0	1__14	2018.02.10 星期六22:10	 掉啥裝
0	1__14	2018.02.10 星期六22:10	 貼圖
0	吳__4	2018.02.10 星期六22:15	 掉個典藏版虛空之遺我考慮帶團刷他
0	吳__4	2018.02.10 星期六22:15	 認真啦要去哪找你們
3	陳__19	2018.02.10 星期六22:37	 12點桃園車站？
0	吳__4	2018.02.10 星期六22:54	 豪
0	1__14	2018.02.10 星期六23:11	 恩
0	陳__19	2018.02.10 星期六23:17	 貼圖
0	吳__4	2018.02.12 星期一20:15	 https://gartic.io/032DI
0	吳__4	2018.02.12 星期一20:19	 https://gartic.io/035y9
0	宇__7	2018.02.12 星期一21:33	 It’s bored 
0	宇__7	2018.02.12 星期一21:33	 I mean boring 
0	宇__7	2018.02.12 星期一21:33	 If we are not tot
0	宇__7	2018.02.12 星期一21:33	 Together 
0	陳__19	2018.02.23 星期五18:33	 圖片
0	陳__19	2018.02.23 星期五18:33	 好喔XDD
0	吳__4	2018.02.23 星期五19:34	 貼圖
0	宇__7	2018.02.23 星期五22:16	 所以小東的血比我多
0	陳__19	2018.02.23 星期五22:32	 貼圖
0	1__14	2018.02.23 星期五23:42	 京站
0	1__14	2018.02.23 星期五23:43	 圖片
3	1__14	2018.02.23 星期五23:43	 9:00前到北車
0	1__14	2018.02.24 星期六02:14	 ？
0	1__14	2018.02.24 星期六02:15	 喔靠
0	1__14	2018.02.24 星期六02:15	 錯頻
