label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
0	吳__4	2018.09.11 星期二23:12	 花菜肥肉絲
0	H__12	2018.09.11 星期二23:33	 貼圖
0	吳__4	2018.09.11 星期二23:40	 子馨什麼時候有空呀
1	H__12	2018.09.11 星期二23:43	 目前都可以哇哈哈~
2	H__12	2018.09.11 星期二23:44	 你們也可以來新竹找我~
0	吳__4	2018.09.11 星期二23:48	 好喔喔
0	吳__4	2018.09.11 星期二23:48	 我們等吳宣醒來
3	0__13	2018.09.12 星期三09:01	 週末新竹一日遊
0	0__13	2018.09.12 星期三09:01	 貼圖
1	吳__4	2018.09.14 星期五12:31	 子馨明天願意接見我們嗎～
2	吳__4	2018.09.14 星期五12:31	 在新竹
1	H__12	2018.09.14 星期五12:32	 明天><
0	H__12	2018.09.14 星期五12:32	 剛好要回台北買布><
1	H__12	2018.09.14 星期五12:32	 可能星期日或下星期~
0	吳__4	2018.09.14 星期五12:33	 好哦哦
0	吳__4	2018.09.14 星期五12:33	 我們等吳宣醒來
0	0__13	2018.09.14 星期五12:49	 我已經醒了...
0	0__13	2018.09.14 星期五12:50	 只是在和老媽吃飯...
0	吳__4	2018.09.14 星期五15:24	 那星期日～
0	0__13	2018.09.14 星期五16:13	 貼圖
1	H__12	2018.09.14 星期五20:26	 永銳平日都不行喔～
1	吳__4	2018.09.14 星期五20:33	 我平日在學校呀
1	吳__4	2018.09.14 星期五20:33	 上好上滿
0	0__13	2018.09.14 星期五20:34	 哎真是認真的年輕人
0	0__13	2018.09.14 星期五20:34	 台灣的未來就靠你了
3	H__12	2018.09.14 星期五20:42	 那星期日的話可以約台北～
0	0__13	2018.09.14 星期五20:45	 好啊好啊
0	吳__4	2018.09.14 星期五20:57	 好R
3	0__13	2018.09.15 星期六13:01	 我們明天約幾點啊？
3	吳__4	2018.09.15 星期六13:18	 我應該10點才到的了台北
1	H__12	2018.09.15 星期六18:10	 約中午嗎～
0	吳__4	2018.09.15 星期六18:25	 好啊～
0	吳__4	2018.09.15 星期六18:25	 有什麼好吃
0	H__12	2018.09.15 星期六19:51	 你們想吃哪類~
2	吳__4	2018.09.15 星期六20:21	 都吃
0	吳__4	2018.09.15 星期六20:21	 這樣會不會很難決定
2	吳__4	2018.09.15 星期六20:22	 義式?
0	H__12	2018.09.15 星期六21:11	 在哪比較方便～
2	吳__4	2018.09.15 星期六21:12	 台北市？
2	0__13	2018.09.15 星期六21:17	 要不要去京站
2	0__13	2018.09.15 星期六21:17	 吃momo paradise
0	吳__4	2018.09.15 星期六21:19	 原來你都愛吃這種的
2	H__12	2018.09.15 星期六21:19	 Mono paradise?
0	H__12	2018.09.15 星期六21:20	 是什麼呀~
2	0__13	2018.09.15 星期六21:20	 美國吃不到壽喜燒...
2	吳__4	2018.09.15 星期六21:20	 壽喜燒吧
0	0__13	2018.09.15 星期六21:20	 貼圖
2	H__12	2018.09.15 星期六21:21	 可是會不會很貴~
2	0__13	2018.09.15 星期六21:21	 四五百？
0	H__12	2018.09.15 星期六21:21	 嗚嗚
2	H__12	2018.09.15 星期六21:22	 我可能沒辦法😿
2	0__13	2018.09.15 星期六21:22	 如果不行的話我們去上次那家披薩店？
2	0__13	2018.09.15 星期六21:22	 南京復興？
2	H__12	2018.09.15 星期六21:31	 我要直接回新竹~
0	0__13	2018.09.15 星期六21:31	 貼圖
2	H__12	2018.09.15 星期六21:31	 所以約北車附近或京站好不~
2	0__13	2018.09.15 星期六21:32	 好啊京站摩絲漢堡～～
0	吳__4	2018.09.15 星期六21:33	 好r
0	H__12	2018.09.15 星期六21:34	 https://aniseblog.tw/5931
0	H__12	2018.09.15 星期六21:35	 還是這個？
2	H__12	2018.09.15 星期六21:35	 哈哈摩斯漢堡？
0	0__13	2018.09.15 星期六21:35	 好喔好喔
0	H__12	2018.09.15 星期六21:35	 認真？
0	0__13	2018.09.15 星期六21:35	 沒關係啊
0	吳__4	2018.09.15 星期六21:35	 美國沒有摩斯嗎
2	0__13	2018.09.15 星期六21:35	 義大利麵感覺不錯
0	0__13	2018.09.15 星期六21:35	 沒有...
0	吳__4	2018.09.15 星期六21:35	 幫QQ
0	H__12	2018.09.15 星期六21:36	 http://www.royalhost.com.tw/m/
0	H__12	2018.09.15 星期六21:36	 不然就這個～
0	吳__4	2018.09.15 星期六21:37	 這感覺也可
2	0__13	2018.09.15 星期六21:37	 喔去樂雅樂吧
0	H__12	2018.09.15 星期六21:37	 吳宣知道喔？
0	0__13	2018.09.15 星期六21:37	 我童年回憶XD
0	H__12	2018.09.15 星期六21:37	 哈哈是喔😂
0	0__13	2018.09.15 星期六21:37	 知道啊
0	0__13	2018.09.15 星期六21:38	 我小時候住民生社區
0	0__13	2018.09.15 星期六21:38	 那裡有一家
2	H__12	2018.09.15 星期六21:39	 好哇那我們就一起吃那個吧😋
1	H__12	2018.09.15 星期六21:39	 約1點好不？
0	0__13	2018.09.15 星期六21:39	 可以啊
0	吳__4	2018.09.15 星期六21:40	 可以呀
0	H__12	2018.09.15 星期六21:40	 貼圖
1	H__12	2018.09.15 星期六21:40	 那就明天見啦~
0	H__12	2018.09.15 星期六21:40	 約在北車M8~
0	H__12	2018.09.15 星期六21:41	 怕你們不會走哈哈~
0	吳__4	2018.09.15 星期六21:41	 okk
0	0__13	2018.09.15 星期六21:41	 我們才是住台北的欸....
2	H__12	2018.09.15 星期六21:41	 哈哈不然直接約餐廳囉？😂
0	0__13	2018.09.15 星期六21:42	 我們就在m8見吧
0	0__13	2018.09.15 星期六21:42	 比較簡單
0	H__12	2018.09.15 星期六21:42	 貼圖
0	0__13	2018.09.15 星期六21:43	 貼圖
0	H__12	2018.09.15 星期六22:14	 兩位
0	H__12	2018.09.15 星期六22:14	 等一下一起幫我搶火車票好不～
0	H__12	2018.09.15 星期六22:14	 12點～
0	H__12	2018.09.15 星期六22:14	 你們會很早睡嗎～
0	0__13	2018.09.15 星期六22:15	 不會....
0	0__13	2018.09.15 星期六22:15	 你是說去新竹的票？
0	H__12	2018.09.15 星期六22:15	 那可以幫我搶嗎哈哈~
