label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
0	H__12	2019.12.22 星期日00:19	 要要要
0	H__12	2019.12.22 星期日00:19	 你待到什麼時候～
1	0__13	2019.12.22 星期日06:20	 我會待到12/30
0	0__13	2019.12.22 星期日06:20	 貼圖
1	0__13	2019.12.22 星期日07:04	 我下週二三四和週末都可以
1	0__13	2019.12.22 星期日07:24	 其實今天也行
2	H__12	2019.12.22 星期日08:57	 你可以來新竹嗎哈哈
0	0__13	2019.12.22 星期日10:30	 呃....我試試看吧
2	0__13	2019.12.22 星期日10:30	 可能週二或週三？
0	H__12	2019.12.22 星期日20:28	 好哇 如果你可以
2	0__13	2019.12.22 星期日20:55	 反正我其實也沒什麼事呵呵
0	0__13	2019.12.22 星期日20:55	 貼圖
