label(0-irrelevant, 1-time, 2-location)	holder	date	context
0	朱__9	2021.03.03 星期三09:40	 今天晚上出來 @葉_4 @黃_1 @顯_15 
0	顯__15	2021.03.03 星期三09:44	 看幾點
0	顯__15	2021.03.03 星期三09:44	 應該6.-8.ok
0	顯__15	2021.03.03 星期三16:11	 @朱_9 要不要吃
0	顯__15	2021.03.03 星期三16:11	 甲約哦哦哦哦哦
0	顯__15	2021.03.03 星期三16:11	 @黃_1 @葉_4 食否
0	顯__15	2021.03.03 星期三16:12	 大約6.
0	黃__1	2021.03.03 星期三16:20	 我可食
0	黃__1	2021.03.03 星期三16:20	 走啊 高品
0	葉__4	2021.03.03 星期三16:21	 好啊
0	顯__15	2021.03.03 星期三16:41	 @朱_9 剩你囉
0	朱__9	2021.03.03 星期三17:27	 貼圖
0	朱__9	2021.03.03 星期三17:28	 但我大概6.30
0	黃__1	2021.03.03 星期三18:16	 @葉_4 你要來我家嗎
0	葉__4	2021.03.03 星期三18:19	 我直接過去
0	黃__1	2021.03.03 星期三18:19	 6.半喔
0	黃__1	2021.03.03 星期三18:19	 貼圖
0	葉__4	2021.03.03 星期三18:32	 我晚點到
0	黃__1	2021.03.03 星期三18:34	 圖片
0	黃__1	2021.03.03 星期三18:34	 甲啥
0	黃__1	2021.03.03 星期三18:34	 @朱_9 @葉_4 
0	葉__4	2021.03.03 星期三18:36	 雞腿加大加飯
0	葉__4	2021.03.03 星期三18:36	 蛋
0	黃__1	2021.03.03 星期三18:37	 @朱_9 
0	朱__9	2021.03.03 星期三18:37	 我可能還要一段時間才會到
0	黃__1	2021.03.03 星期三18:38	 @朱_9 在鬧喔
0	朱__9	2021.03.03 星期三18:48	 你們都要回竹南嗎
0	黃__1	2021.03.03 星期三18:49	 沒
0	朱__9	2021.03.03 星期三19:03	 我大概7.30到中原
0	葉__4	2021.03.03 星期三19:04	 @朱_9 我們吃飽要走了
0	葉__4	2021.03.03 星期三19:05	 要不要幫你外帶
