"label(0-irrelevant, 1-time, 2-location)"	holder	date	context
1	朱__9	2021.03.03 星期三21:46	 @葉_4 @黃_1 @顯_15 星期五出來吃飯啊
0	顯__15	2021.03.03 星期三22:51	 我ｏｋ
0	朱__9	2021.03.03 星期三22:57	 貼圖
0	顯__15	2021.03.03 星期三22:57	 先給個時間
1	朱__9	2021.03.03 星期三22:58	 我整天都可
0	顯__15	2021.03.03 星期三22:58	 那看 @黃_1 @葉_4 時間囉
1	黃__1	2021.03.03 星期三23:57	 我應該只能吃晚餐
0	顯__15	2021.03.04 星期四00:04	 @朱_9 你是午餐也吃？
0	朱__9	2021.03.04 星期四03:24	 我都可
0	顯__15	2021.03.04 星期四18:42	 來啊
0	顯__15	2021.03.04 星期四18:42	 吃
1	朱__9	2021.03.04 星期四19:15	 我中午要看 可以跟妳講
1	葉__4	2021.03.04 星期四19:25	 晚上
0	葉__4	2021.03.04 星期四19:25	 @朱_9 你請客
0	顯__15	2021.03.04 星期四20:06	 掰掰
0	顯__15	2021.03.04 星期四20:06	 當然
0	朱__9	2021.03.04 星期四21:01	 貼圖
0	朱__9	2021.03.05 星期五00:41	 所以勒 吃晚餐？
1	葉__4	2021.03.05 星期五00:43	 晚餐啊
1	葉__4	2021.03.05 星期五00:43	 我是只能晚餐
2	葉__4	2021.03.05 星期五00:43	 @朱_9 竹南還是桃園
0	朱__9	2021.03.05 星期五00:43	 另外兩隻勒
0	葉__4	2021.03.05 星期五00:44	 朱甲?
2	朱__9	2021.03.05 星期五00:52	 我明天在桃園啊
0	葉__4	2021.03.05 星期五01:00	 貼圖
2	黃__1	2021.03.05 星期五01:01	 我也桃園
0	黃__1	2021.03.05 星期五01:01	 這禮拜不回去
0	葉__4	2021.03.05 星期五01:01	 貼圖
0	朱__9	2021.03.05 星期五01:17	 貼圖
0	朱__9	2021.03.05 星期五11:11	 你們在上課喔
0	葉__4	2021.03.05 星期五11:11	 不然勒
0	黃__1	2021.03.05 星期五11:11	 對啊
0	黃__1	2021.03.05 星期五11:11	 貼圖
0	朱__9	2021.03.05 星期五11:11	 我在休假了啦
0	朱__9	2021.03.05 星期五11:11	 貼圖
0	黃__1	2021.03.05 星期五11:12	 乾我屁事
0	黃__1	2021.03.05 星期五11:12	 貼圖
0	葉__4	2021.03.05 星期五11:12	 笑死
0	葉__4	2021.03.05 星期五11:12	 派
0	朱__9	2021.03.05 星期五11:12	 貼圖
0	葉__4	2021.03.05 星期五11:12	 @朱_9 你很閒是不是
0	葉__4	2021.03.05 星期五11:12	 下午來幫我點名
0	朱__9	2021.03.05 星期五11:13	 貼圖
0	朱__9	2021.03.05 星期五11:13	 貼圖
0	陳__7	2021.03.05 星期五12:32	               . 貼圖
0	陳__7	2021.03.05 星期五12:32	               . 陳_7               .已邀請「泊翰」加入群組囉，等對方加入後再一起聊天吧！
0	陳__7	2021.03.05 星期五12:32	               . 陳_7               .已取消邀請泊翰加入群組。
0	黃__1	2021.03.05 星期五12:33	 泊翰打球嗎
0	陳__7	2021.03.05 星期五12:36	               . 貼圖
0	朱__9	2021.03.05 星期五13:26	 幾點吃飯啦
0	陳__7	2021.03.05 星期五13:26	               . 貼圖
1	黃__1	2021.03.05 星期五13:26	 好啊 6.
0	黃__1	2021.03.05 星期五13:26	 @朱_9 你現在在哪
0	朱__9	2021.03.05 星期五13:26	 我在龍潭市區
0	朱__9	2021.03.05 星期五13:27	 貼圖
0	黃__1	2021.03.05 星期五13:27	 貼圖
0	朱__9	2021.03.05 星期五13:32	 貼圖
0	陳__7	2021.03.05 星期五13:41	               . 貼圖
0	葉__4	2021.03.05 星期五13:41	 貼圖
0	朱__9	2021.03.05 星期五13:49	 @陳_7               . 你就在台北 在哭
0	陳__7	2021.03.05 星期五14:03	               . 朱甲請客
0	陳__7	2021.03.05 星期五14:03	               . 貼圖
0	朱__9	2021.03.05 星期五14:43	 你來啊 又不敢
0	朱__9	2021.03.05 星期五14:43	 貼圖
0	朱__9	2021.03.05 星期五15:01	 @葉_4 @顯_15 @黃_1 你們下課了嗎
0	黃__1	2021.03.05 星期五15:01	 我等等有事
0	朱__9	2021.03.05 星期五15:02	 在哭
1	黃__1	2021.03.05 星期五15:02	 但可以吃晚餐
0	黃__1	2021.03.05 星期五15:02	 貼圖
0	葉__4	2021.03.05 星期五15:07	 沒
0	葉__4	2021.03.05 星期五15:09	 貼圖
0	朱__9	2021.03.05 星期五17:29	 @葉_4 @顯_15 出來吃飯囉
0	葉__4	2021.03.05 星期五17:29	 幾點 在哪
0	顯__15	2021.03.05 星期五17:31	 我要去等等
2	朱__9	2021.03.05 星期五17:32	 先來小浩家
2	顯__15	2021.03.05 星期五17:38	 你在小號家喔
0	朱__9	2021.03.05 星期五17:38	 對啊
0	黃__1	2021.03.05 星期五18:09	 https://g.page/hightide-afloat?share
0	黃__1	2021.03.05 星期五18:10	 @葉_4 
0	黃__1	2021.03.05 星期五18:10	 我們吃這個
0	葉__4	2021.03.05 星期五18:10	 Ok
0	葉__4	2021.03.05 星期五18:15	 幾點吃
