"label(0-irrelevant, 1-time, 2-location)"	holder	date	context
0	顯__15	2021.02.04 星期四00:12	 https://www.youtube.com/watch?v=Tpj12xz76S0
0	振__12	2021.02.04 星期四00:22	 圖片
2	黃__1	2021.02.04 星期四06:35	 家家嗎
0	陳__7	2021.02.04 星期四08:56	               . Ok
0	黃__1	2021.02.04 星期四09:02	 有人要來我家耍廢嗎
0	黃__1	2021.02.04 星期四09:02	 貼圖
0	黃__1	2021.02.04 星期四09:02	 我好無聊
0	陳__7	2021.02.04 星期四09:06	               . 要不要激鬥一下
0	陳__7	2021.02.04 星期四09:06	               . 等我吃完早餐
0	黃__1	2021.02.04 星期四09:08	 我好久沒開了
0	黃__1	2021.02.04 星期四09:09	 可以啊
0	黃__1	2021.02.04 星期四09:34	 我先睡了
0	黃__1	2021.02.04 星期四10:29	 幾點吃中餐
0	陳__7	2021.02.04 星期四10:30	               . 2點桌遊店才開
0	陳__7	2021.02.04 星期四10:31	               . 看要幾點吃
1	黃__1	2021.02.04 星期四10:31	 不然1.半吃
0	陳__7	2021.02.04 星期四10:32	               . 家家有開齁?
0	黃__1	2021.02.04 星期四10:32	 不知道欸
0	朱__9	2021.02.04 星期四10:33	 桌遊店確定會開嗎？
0	黃__1	2021.02.04 星期四10:33	 不知道欸
0	陳__7	2021.02.04 星期四10:33	               . 我禮拜三去有開
0	黃__1	2021.02.04 星期四10:33	 懂去喔
0	陳__7	2021.02.04 星期四10:34	               . 貼圖
0	黃__1	2021.02.04 星期四10:34	 家家沒開就學校附近吃
2	黃__1	2021.02.04 星期四10:34	 八方還是什麼都可
1	陳__7	2021.02.04 星期四10:34	               . 還是12點吃
0	陳__7	2021.02.04 星期四10:34	               . 吃完去你家混
0	陳__7	2021.02.04 星期四10:34	               . 貼圖
0	黃__1	2021.02.04 星期四10:34	 也可以啊
0	朱__9	2021.02.04 星期四10:35	 OK兩點見
0	黃__1	2021.02.04 星期四10:35	 @朱_9 你不吃喔
0	陳__7	2021.02.04 星期四10:35	               . 傻屌一個
3	黃__1	2021.02.04 星期四10:36	 要吃中餐的 @喬治 @振_12 @朱_9 @葉_4 @陳人榮 @顯_15 12.家家集合
0	朱__9	2021.02.04 星期四10:45	 我再看看
0	葉__4	2021.02.04 星期四11:56	 欸我沒有要吃中餐
0	葉__4	2021.02.04 星期四11:57	 我吃nu
0	黃__1	2021.02.04 星期四11:57	 好
0	陳__7	2021.02.04 星期四12:01	               . 12點了
