label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
1	0__13	2021.02.14 星期日16:13	 各位下週有空嗎？
2	0__13	2021.02.14 星期日16:13	 要不要一起去約喝調酒
0	H__12	2021.02.14 星期日16:14	 酒(!)
0	H__12	2021.02.14 星期日16:14	 好吸引人！
0	0__13	2021.02.14 星期日16:14	 我剛好領到壓歲錢
2	0__13	2021.02.14 星期日16:15	 突然想到子馨有沒有推薦什麼酒吧～～
0	0__13	2021.02.14 星期日16:15	 貼圖
0	0__13	2021.02.14 星期日16:20	 大家感覺怎麼樣？
0	H__12	2021.02.14 星期日16:20	 台北的我都不知道耶哈哈
0	H__12	2021.02.14 星期日16:21	 那要星期幾呀 晚上嗎
0	0__13	2021.02.14 星期日16:21	 我可以去查一下
1	0__13	2021.02.14 星期日16:21	 我週一三四都可以
0	吳__4	2021.02.14 星期日16:21	 哦哦
1	吳__4	2021.02.14 星期日16:22	 我也一三四可以
1	0__13	2021.02.14 星期日16:24	 太棒了～～應該約晚上吧
0	0__13	2021.02.14 星期日16:37	 我來找一下酒吧
2	0__13	2021.02.14 星期日16:43	 我感覺很想試試一個叫odin
2	0__13	2021.02.14 星期日16:43	 在士林和信義都有分店～～
0	吳__4	2021.02.14 星期日16:45	 sure
0	0__13	2021.02.14 星期日16:45	 https://alpha830915.pixnet.net/blog/post/344899916-%e3%80%90tw%e3%80%91odin-darts-%26-cafe%ef%bd%9c%e5%a3%ab%e6%9e%97%e5%9c%a8%e5%9c%b0%e6%94%be%e6%84%9f%e6%83%85
0	0__13	2021.02.14 星期日16:45	 You can check it out
0	吳__4	2021.02.14 星期日16:47	 alright alright
0	吳__4	2021.02.14 星期日16:47	 感覺要訂
0	吳__4	2021.02.14 星期日16:48	 才有機會
0	0__13	2021.02.14 星期日16:48	 That’s true
0	0__13	2021.02.14 星期日16:49	 我們時間都可以的話我可以打電話去問問
0	0__13	2021.02.14 星期日16:49	 貼圖
