label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
3	宇__7	2018.11.17 星期六10:34	 12月有沒有人要吃一蘭
0	吳__4	2018.11.17 星期六10:39	 ㄘ啊
2	1__14	2018.11.17 星期六11:52	 信義嗎👌
2	陳__19	2018.11.17 星期六15:27	 走啊 好久沒見了
0	1__14	2018.11.17 星期六15:50	 我說 重
0	1__14	2018.11.17 星期六15:50	 差不多能把群組頭像 換回小東躺沙發的了吧
0	吳__4	2018.11.17 星期六15:51	 我覺得現在的很棒啊
0	陳__19	2018.11.17 星期六15:58	 嗯？我看還是我那張啊
0	陳__19	2018.11.17 星期六15:58	 你們換成什麼了
0	1__14	2018.11.17 星期六16:10	 換成我 跟永瑞 看書 睡著的照片了
0	1__14	2018.11.17 星期六16:10	 乾
0	陳__19	2018.11.17 星期六16:10	 為啥我這邊沒看到
0	1__14	2018.11.17 星期六16:10	 有次在我家樓下看書拍的
0	陳__19	2018.11.17 星期六16:10	 可惜
0	1__14	2018.11.17 星期六16:10	 😂
0	1__14	2018.11.17 星期六16:11	 不然就是下次 再拍一個 我跟小東以外的人
0	1__14	2018.11.17 星期六16:11	 放一年
0	1__14	2018.11.17 星期六16:11	 再下一個人
0	陳__19	2018.11.17 星期六16:11	 該老大了
0	1__14	2018.11.17 星期六16:11	 如果這群組能活個 20幾年的話
0	陳__19	2018.11.17 星期六16:11	 大概
0	1__14	2018.11.17 星期六16:11	 以後回來看 會覺得很有記念價值
0	1__14	2018.11.17 星期六17:43	已將Kevin Chu退出群組。
0	宇__7	2018.11.17 星期六22:00	 那我再約你們
0	宇__7	2018.12.06 星期四03:07	 影片
0	宇__7	2018.12.06 星期四03:07	 圖片
0	宇__7	2018.12.06 星期四03:12	 這麼晚不睡應該是小東
0	宇__7	2018.12.06 星期四03:12	 或是徐
0	(__16	2018.12.06 星期四03:12	 是我
0	宇__7	2018.12.06 星期四03:12	 你在台灣嗎
0	(__16	2018.12.06 星期四03:16	 還沒20號
1	宇__7	2018.12.08 星期六10:09	 啊你們平日晚上有空嗎
1	宇__7	2018.12.08 星期六10:09	 還是一定要假日
1	吳__4	2018.12.08 星期六10:14	 我禮拜三禮拜四晚上不行
1	吳__4	2018.12.08 星期六10:14	 然後我21號晚上不行
1	1__14	2018.12.08 星期六10:39	 星期四晚上有時侯會有考試 星期一晚上鋼琴
1	1__14	2018.12.08 星期六10:39	 其他天 跟假日 都ok
1	陳__19	2018.12.08 星期六10:47	 禮拜五晚上不能
1	宇__7	2018.12.08 星期六12:38	 詠睿你假日會回新店嗎
0	吳__4	2018.12.08 星期六12:39	 通常都在學校
0	宇__7	2018.12.08 星期六12:40	已收回訊息
1	宇__7	2018.12.08 星期六12:40	 阿你們12/23可不可以
1	(__16	2018.12.08 星期六12:40	 我可以我可以
1	陳__19	2018.12.08 星期六12:40	 應該可以
1	吳__4	2018.12.08 星期六12:41	 我那個週末回桃園欸
0	宇__7	2018.12.08 星期六12:41	 ...
0	宇__7	2018.12.08 星期六12:41	 確定 的喔
2	吳__4	2018.12.08 星期六12:41	 你們要在台北嗎
0	宇__7	2018.12.08 星期六12:41	 對阿
2	宇__7	2018.12.08 星期六12:41	 要吃一籃
2	宇__7	2018.12.08 星期六12:41	 我想吃一籃
0	宇__7	2018.12.08 星期六12:41	 哈哈
0	陳__19	2018.12.08 星期六12:41	 .......
1	吳__4	2018.12.08 星期六12:41	 哦禮拜天應該可以
2	陳__19	2018.12.08 星期六12:42	 一蘭座位不是隔間？
0	宇__7	2018.12.08 星期六12:42	 對阿
0	陳__19	2018.12.08 星期六12:42	 幹 那我們出來不聊天？
0	宇__7	2018.12.08 星期六12:42	 87喔吃完可以聊阿
2	宇__7	2018.12.08 星期六12:42	 看個電影
2	宇__7	2018.12.08 星期六12:42	 之類的
0	陳__19	2018.12.08 星期六12:42	 87喔吃東西就能聊了
0	陳__19	2018.12.08 星期六12:42	 我們出來不是為了吃東西欸
0	宇__7	2018.12.08 星期六12:43	 阿吃飯錢吃飯後都可以聊阿
0	陳__19	2018.12.08 星期六12:43	 貼圖
0	宇__7	2018.12.08 星期六12:43	 吃飯的時候也可以聊阿
0	宇__7	2018.12.08 星期六12:43	 如果坐在隔壁的話
0	陳__19	2018.12.08 星期六12:43	 沒fu
2	宇__7	2018.12.08 星期六12:43	 阿不然就吃兩餐妹
0	宇__7	2018.12.08 星期六12:44	 你說呢胖子
0	宇__7	2018.12.08 星期六12:44	 胖子不要不獨
2	陳__19	2018.12.08 星期六12:45	 靠北 這麼想吃一蘭？
0	宇__7	2018.12.08 星期六12:45	 不行喔
0	宇__7	2018.12.08 星期六12:45	 ?
0	宇__7	2018.12.08 星期六12:45	 ??
0	陳__19	2018.12.08 星期六12:45	 不行
0	宇__7	2018.12.08 星期六12:45	 ???
0	宇__7	2018.12.08 星期六12:45	 ????
0	宇__7	2018.12.08 星期六12:45	 阿不然你想吃三小
0	宇__7	2018.12.08 星期六12:45	 ?
2	陳__19	2018.12.08 星期六12:45	 大家一起吃的
2	宇__7	2018.12.08 星期六12:45	 吃火鍋好了
0	陳__19	2018.12.08 星期六12:45	 分開坐很沒有出來吃飯的感覺啊
2	(__16	2018.12.08 星期六12:46	 海底撈
0	陳__19	2018.12.08 星期六12:46	 各吃各的
2	宇__7	2018.12.08 星期六12:46	 不要
2	宇__7	2018.12.08 星期六12:46	 太貴了
2	宇__7	2018.12.08 星期六12:46	 吃飯預算五百
0	宇__7	2018.12.08 星期六12:46	 以內
2	陳__19	2018.12.08 星期六12:46	 你吃五百啊
2	宇__7	2018.12.08 星期六12:46	 阿你出來只要吃飯?
0	陳__19	2018.12.08 星期六12:46	 剩下我們吃
0	宇__7	2018.12.08 星期六12:46	 拉基
0	陳__19	2018.12.08 星期六12:46	 A_A
2	宇__7	2018.12.08 星期六12:47	 你出來除了吃飯要幹嘛
2	(__16	2018.12.08 星期六12:47	 Mono
2	(__16	2018.12.08 星期六12:47	 Momo*
2	陳__19	2018.12.08 星期六12:47	 那個時候有電影？
