label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
3	L__18	2021.02.20 星期六14:30	 228唱歌+逛夜市團
3	L__18	2021.02.20 星期六14:30	 預計下午3點開唱
0	L__18	2021.02.20 星期六14:30	 要的請+1
1	L__18	2021.02.20 星期六14:30	 預計3-3:30左右
1	庭__11	2021.02.20 星期六16:28	 4.如何
0	L__18	2021.02.20 星期六16:28	 豪
0	L__18	2021.02.20 星期六16:28	 大家可嗎
1	庭__11	2021.02.20 星期六16:28	 3.我有點來不及
0	L__18	2021.02.20 星期六16:28	 Okok
0	庭__11	2021.02.20 星期六16:29	 貼圖
0	林__17	2021.02.20 星期六19:41	 貼圖
0	L__18	2021.02.20 星期六19:58	 @吳_4 @李_20 @林_15 
0	L__18	2021.02.20 星期六19:58	 你們可嗎
1	李__20	2021.02.20 星期六20:01	 我四點唱歌應該行  但唱完後就要直接搭車回基隆了
0	吳__4	2021.02.20 星期六20:03	 ++
1	林__17	2021.02.20 星期六20:07	 你們沒放連假喔？還是要忙畢業論文了
0	李__20	2021.02.20 星期六20:08	 做動物實驗中...  
0	李__20	2021.02.20 星期六20:09	 要做一個月每天都要顧
0	林__17	2021.02.20 星期六20:09	 喔喔辛苦啦
0	L__18	2021.02.20 星期六20:10	 Okok
3	林__15	2021.02.20 星期六20:39	 +
0	林__15	2021.02.20 星期六20:39	 貼圖
0	庭__11	2021.02.23 星期二22:34	 圖片
0	庭__11	2021.02.23 星期二22:34	 我大概查了價格
0	庭__11	2021.02.23 星期二22:34	 大家看看
0	庭__11	2021.02.23 星期二22:35	 左上是星聚點
0	庭__11	2021.02.23 星期二22:35	已收回訊息
2	L__18	2021.02.23 星期二22:35	 錢櫃是否比較划算
0	庭__11	2021.02.23 星期二22:35	 右上左下錢櫃
0	庭__11	2021.02.23 星期二22:35	 右下好樂迪
0	庭__11	2021.02.23 星期二22:36	 但我不知道吃的怎麼算
1	林__17	2021.02.23 星期二22:38	 所以是27號喔？
2	林__17	2021.02.23 星期二22:39	 好樂迪我朋友的女朋友好像有會員
2	林__17	2021.02.23 星期二22:39	 上次跟他們去有印象用過
0	L__18	2021.02.23 星期二22:51	 28吧
0	L__18	2021.02.23 星期二22:52	 呼叫黃庭_11
1	L__18	2021.02.23 星期二23:38	 確定是228哦
0	庭__11	2021.02.23 星期二23:38	 我設錯了
0	庭__11	2021.02.23 星期二23:38	 貼圖
0	林__17	2021.02.23 星期二23:46	 貼圖
2	庭__11	2021.02.24 星期三16:01	 嗨大家228是楷杰_8生日我們要不要合買一個小蛋糕 幫他慶祝一下
0	庭__11	2021.02.24 星期三16:02	 以上不勉強～
0	林__17	2021.02.24 星期三16:02	 他要來當然ok阿
3	林__17	2021.02.24 星期三16:02	 我+1
3	L__18	2021.02.24 星期三16:03	 +1
0	庭__11	2021.02.24 星期三16:03	 貼圖
3	吳__4	2021.02.24 星期三19:50	 +
3	林__15	2021.02.24 星期三22:50	 +
3	李__20	2021.02.25 星期四00:02	 ＋
0	庭__11	2021.02.25 星期四10:38	 貼圖
0	庭__11	2021.02.25 星期四10:38	 那我等等把楷杰_8邀進來哦
0	庭__11	2021.02.25 星期四10:38	 庭_11已邀請「杰_8」加入群組囉，等對方加入後再一起聊天吧！
2	庭__11	2021.02.25 星期四10:39	 大家有偏好哪一間唱歌嗎
0	杰	2021.02.25 星期四10:45	 杰_8已加入群組。
0	L__18	2021.02.25 星期四10:52	 沒有
2	L__18	2021.02.25 星期四10:52	 便宜即可
2	L__18	2021.02.25 星期四10:52	 感覺錢櫃比較便宜
2	庭__11	2021.02.25 星期四11:01	 是算禮拜六的價格哦
0	庭__11	2021.02.25 星期四11:01	 好像全部都是
0	庭__11	2021.02.25 星期四11:01	 因為228連假
0	林__17	2021.02.25 星期四11:59	 錢櫃要看算人頭還是包廂費吧
0	林__17	2021.02.25 星期四12:00	 每間店好像也會有差我們要不要先決定去哪間唱
0	林__17	2021.02.25 星期四12:00	 然後再問才能確定
0	庭__11	2021.02.25 星期四12:51	 好啊
0	庭__11	2021.02.25 星期四12:51	 那大家比較想去哪邊的
