target	holder	sentiment	date	context
0	宇__7	0	2018.11.17 星期六10:34	 12月有沒有人要吃一蘭
0	1__14	0	2018.11.17 星期六11:52	 信義嗎👌
0	陳__19	0	2018.11.17 星期六15:27	 走啊 好久沒見了
0	吳__4	0	2018.12.08 星期六12:41	 你們要在台北嗎
0	宇__7	0	2018.12.08 星期六12:41	 要吃一籃
0	宇__7	0	2018.12.08 星期六12:41	 我想吃一籃
0	陳__19	0	2018.12.08 星期六12:42	 一蘭座位不是隔間？
0	宇__7	0	2018.12.08 星期六12:42	 看個電影
0	宇__7	0	2018.12.08 星期六12:42	 之類的
0	宇__7	0	2018.12.08 星期六12:43	 阿不然就吃兩餐妹
0	陳__19	0	2018.12.08 星期六12:45	 靠北 這麼想吃一蘭？
0	陳__19	0	2018.12.08 星期六12:45	 大家一起吃的
0	宇__7	0	2018.12.08 星期六12:45	 吃火鍋好了
0	(__16	0	2018.12.08 星期六12:46	 海底撈
0	宇__7	0	2018.12.08 星期六12:46	 不要
0	宇__7	0	2018.12.08 星期六12:46	 太貴了
0	宇__7	0	2018.12.08 星期六12:46	 吃飯預算五百
0	陳__19	0	2018.12.08 星期六12:46	 你吃五百啊
0	宇__7	0	2018.12.08 星期六12:46	 阿你出來只要吃飯?
0	宇__7	0	2018.12.08 星期六12:47	 你出來除了吃飯要幹嘛
0	(__16	0	2018.12.08 星期六12:47	 Mono
0	(__16	0	2018.12.08 星期六12:47	 Momo*
0	陳__19	0	2018.12.08 星期六12:47	 那個時候有電影？
0	宇__7	0	2018.12.08 星期六12:47	 電影啥時都有吧
0	陳__19	0	2018.12.08 星期六12:47	 我意思是好看的
0	宇__7	0	2018.12.08 星期六12:47	 你不想吃一欄嗎
0	宇__7	0	2018.12.08 星期六12:48	 ㄟ出來玩的重點是團聚不是看好看的電影
0	(__16	0	2018.12.08 星期六12:49	 小東不是想吃坐在一起的？
0	宇__7	0	2018.12.08 星期六12:49	 我只能再找別人吃
0	陳__19	0	2018.12.08 星期六12:49	 電影是看完有話聊
0	宇__7	0	2018.12.08 星期六12:50	 阿你們比較想吃晚餐還是午餐
0	(__16	0	2018.12.08 星期六12:50	 我21號後可以跟你吃
0	宇__7	0	2018.12.08 星期六12:51	 午餐還是晚餐?
0	(__16	0	2018.12.08 星期六12:52	 晚餐吧
0	陳__19	0	2018.12.08 星期六12:58	 我都可以
0	陳__19	0	2018.12.08 星期六12:58	 午餐的好處是下午可以看電影
0	陳__19	0	2018.12.08 星期六12:58	 然後接晚餐
0	(__16	0	2018.12.08 星期六13:21	 我可以
0	吳__4	0	2018.12.08 星期六13:29	 可以呀
0	1__14	0	2018.12.08 星期六13:43	 12/23 決定了嗎
0	1__14	0	2018.12.08 星期六13:50	 23可以
