target	holder	sentiment	date	context
0	L__18	0	2021.02.20 星期六14:30	 228唱歌+逛夜市團
0	L__18	0	2021.02.20 星期六14:30	 預計下午3點開唱
0	林__15	0	2021.02.20 星期六20:39	 +
0	L__18	0	2021.02.23 星期二22:35	 錢櫃是否比較划算
0	林__17	0	2021.02.23 星期二22:39	 好樂迪我朋友的女朋友好像有會員
0	林__17	0	2021.02.23 星期二22:39	 上次跟他們去有印象用過
0	庭__11	0	2021.02.24 星期三16:01	 嗨大家228是楷杰_8生日我們要不要合買一個小蛋糕 幫他慶祝一下
0	林__17	0	2021.02.24 星期三16:02	 我+1
0	L__18	0	2021.02.24 星期三16:03	 +1
0	吳__4	0	2021.02.24 星期三19:50	 +
0	林__15	0	2021.02.24 星期三22:50	 +
0	李__20	0	2021.02.25 星期四00:02	 ＋
0	庭__11	0	2021.02.25 星期四10:39	 大家有偏好哪一間唱歌嗎
0	L__18	0	2021.02.25 星期四10:52	 便宜即可
0	L__18	0	2021.02.25 星期四10:52	 感覺錢櫃比較便宜
0	庭__11	0	2021.02.25 星期四11:01	 是算禮拜六的價格哦
0	林__17	0	2021.02.25 星期四16:48	 感覺約台北市的大家比較方便？
0	L__18	0	2021.02.25 星期四17:01	 要不要約士林夜市附近的
0	林__17	0	2021.02.26 星期五09:59	 台北我去過的就南京復興那跟西門吧
0	林__17	0	2021.02.26 星期五09:59	 再來就板橋新莊了
0	庭__11	0	2021.02.26 星期五13:06	 8個人好樂迪包廂比較便宜
0	庭__11	0	2021.02.26 星期五13:07	 如果要離士林夜市近一點
0	庭__11	0	2021.02.26 星期五13:07	 通化店如何
0	庭__11	0	2021.02.26 星期五13:07	 然後星聚點好像比較貴
0	L__18	0	2021.02.26 星期五13:24	 我們要不要訂好樂迪
0	L__18	0	2021.02.26 星期五13:24	 因為我註冊錢櫃
0	林__17	0	2021.02.26 星期五13:27	 我沒特別喜好都行
0	吳__4	0	2021.02.26 星期五13:32	 好
0	林__17	0	2021.02.26 星期五13:38	 通化在101那邊耶
0	林__17	0	2021.02.26 星期五13:38	 跟士林一點都不近吧石牌店還比較近
0	庭__11	0	2021.02.26 星期五13:47	 原來我原本查的是錦州店
0	庭__11	0	2021.02.26 星期五13:47	 比較便宜
0	林__17	0	2021.02.26 星期五13:49	 我們應該要找可以讓維哲早點坐回基隆的點0.0
0	李__20	0	2021.02.26 星期五14:15	 我只需要附近有捷運就行了  我搭車的點主要就圓山或忠孝敦化
0	L__18	0	2021.02.26 星期五23:26	 剛剛比較了一下 這家比較便宜
0	林__15	0	2021.02.28 星期日10:24	 大家拍謝~我等等要跟家人去一趟新竹老家 應該晚上才回台北 這次唱歌先pass了QQ
0	L__18	0	2021.02.28 星期日22:51	 @庭_11 黃庭_11說下次要約六福村
0	吳__4	0	2021.02.28 星期日22:57	 我之前暑假在六福村打工 有去玩過一次
