target	holder	sentiment	date	context
0	陳__19	0	2017.07.27 星期四22:40	 都可以啊
0	陳__19	0	2017.07.27 星期四22:40	 我8月很閒
0	吳__4	0	2017.07.27 星期四22:41	 我下週也都可
0	1__14	0	2017.07.31 星期一13:34	 我都可啊 123不行
0	1__14	0	2017.07.31 星期一13:34	 你們 方便就好⋯
0	吳__4	0	2017.07.31 星期一13:36	 我六不行
0	吳__4	0	2017.07.31 星期一13:37	 那就4或5
0	陳__19	0	2017.07.31 星期一13:39	 4來住
0	1__14	0	2017.07.31 星期一13:40	 12不行 
0	1__14	0	2017.07.31 星期一13:42	 8/10～8/14啦
0	1__14	0	2017.07.31 星期一13:42	 四到一
0	1__14	0	2017.07.31 星期一13:42	 我一不行
0	1__14	0	2017.07.31 星期一13:42	 那就 4或5
0	陳__19	0	2017.07.31 星期一15:56	 所以這禮拜四來？
0	吳__4	0	2017.07.31 星期一16:34	 就週四
0	陳__19	0	2017.08.02 星期三10:52	 明天來嗎？
0	吳__4	0	2017.08.02 星期三11:29	 我ok
0	1__14	0	2017.08.02 星期三13:15	 Ok
0	1__14	0	2017.08.02 星期三14:16	 我等等鋼琴課
0	1__14	0	2017.08.02 星期三14:16	 明天吧
0	1__14	0	2017.08.02 星期三17:09	 我明天 早上 要先去北車 報名托福
0	吳__4	0	2017.08.02 星期三17:09	 可以啊
0	吳__4	0	2017.08.02 星期三17:09	 9點大坪林
0	陳__19	0	2017.08.02 星期三17:11	  都可以
0	陳__19	0	2017.08.02 星期三17:11	 大概7點吧
0	吳__4	0	2017.08.02 星期三17:11	 好啊7點
0	1__14	0	2017.08.02 星期三17:12	 如果我們 12點到你家ok吧啊？
0	1__14	0	2017.08.08 星期二12:10	 10號
